category,badge_name,age_group,badge_tier,metric_code,threshold,threshold type,file_name,file_type
gains,bs_10_mph,softball,velo,gains_bs_10_mph_softball_velo,10%,bat_speed_percent_gain,gains_bs_10_mph_softball_velo.png,png
,,,,,,,,
gains,ev_3_mph,youth,bronze,gains_ev_3_mph_youth_bronze,3%,exit_velo_percent_gain,gains_ev_3_mph_youth_bronze.png,png
gains,ev_5_mph,youth,silver,gains_ev_5_mph_youth_silver,5%,exit_velo_percent_gain,gains_ev_5_mph_youth_silver.png,png
gains,ev_7_mph,youth,gold,gains_ev_7_mph_youth_gold,7%,exit_velo_percent_gain,gains_ev_7_mph_youth_gold.png,png
gains,ev_10_mph,youth,velo,gains_ev_10_mph_youth_velo,10%,exit_velo_percent_gain,gains_ev_10_mph_youth_velo.png,png
,,,,,,,,
gains,ev_3_mph,all_star,bronze,gains_ev_3_mph_all_star_bronze,3%,exit_velo_percent_gain,gains_ev_3_mph_all_star_bronze.png,png
gains,ev_5_mph,all_star,silver,gains_ev_5_mph_all_star_silver,5%,exit_velo_percent_gain,gains_ev_5_mph_all_star_silver.png,png
gains,ev_7_mph,all_star,gold,gains_ev_7_mph_all_star_gold,7%,exit_velo_percent_gain,gains_ev_7_mph_all_star_gold.png,png
gains,ev_10_mph,all_star,velo,gains_ev_10_mph_all_star_velo,10%,exit_velo_percent_gain,gains_ev_10_mph_all_star_velo.png,png
,,,,,,,,
gains,ev_3_mph,pro,bronze,gains_ev_3_mph_pro_bronze,3%,exit_velo_percent_gain,gains_ev_3_mph_pro_bronze.png,png
gains,ev_5_mph,pro,silver,gains_ev_5_mph_pro_silver,5%,exit_velo_percent_gain,gains_ev_5_mph_pro_silver.png,png
gains,ev_7_mph,pro,gold,gains_ev_7_mph_pro_gold,7%,exit_velo_percent_gain,gains_ev_7_mph_pro_gold.png,png
gains,ev_10_mph,pro,velo,gains_ev_10_mph_pro_velo,10%,exit_velo_percent_gain,gains_ev_10_mph_pro_velo.png,png
,,,,,,,,
gains,ev_3_mph,softball,bronze,gains_ev_3_mph_softball_bronze,3%,exit_velo_percent_gain,gains_ev_3_mph_softball_bronze.png,png
gains,ev_5_mph,softball,silver,gains_ev_5_mph_softball_silver,5%,exit_velo_percent_gain,gains_ev_5_mph_softball_silver.png,png
gains,ev_7_mph,softball,gold,gains_ev_7_mph_softball_gold,7%,exit_velo_percent_gain,gains_ev_7_mph_softball_gold.png,png
gains,ev_10_mph,softball,velo,gains_ev_10_mph_softball_velo,10%,exit_velo_percent_gain,gains_ev_10_mph_softball_velo.png,png
,,,,,,,,
special,non_dom_20,youth,bronze,special_non_dom_20_youth_bronze,20%,non_dom_vs_dom_difference_percent,special_non_dom_20_youth_bronze.png,png
special,non_dom_10,youth,silver,special_non_dom_10_youth_silver,10%,non_dom_vs_dom_difference_percent,special_non_dom_10_youth_silver.png,png
special,non_dom_5,youth,gold,special_non_dom_5_youth_gold,5%,non_dom_vs_dom_difference_percent,special_non_dom_5_youth_gold.png,png
special,non_dom_1,youth,plat,special_non_dom_1_youth_plat,1%,non_dom_vs_dom_difference_percent,special_non_dom_1_youth_plat.png,png
,,,,,,,,
special,non_dom_20,all_star,bronze,special_non_dom_20_all_star_bronze,20%,non_dom_vs_dom_difference_percent,special_non_dom_20_all_star_bronze.png,png
special,non_dom_10,all_star,silver,special_non_dom_10_all_star_silver,10%,non_dom_vs_dom_difference_percent,special_non_dom_10_all_star_silver.png,png
special,non_dom_5,all_star,gold,special_non_dom_5_all_star_gold,5%,non_dom_vs_dom_difference_percent,special_non_dom_5_all_star_gold.png,png
special,non_dom_1,all_star,plat,special_non_dom_1_all_star_plat,1%,non_dom_vs_dom_difference_percent,special_non_dom_1_all_star_plat.png,png
,,,,,,,,
special,non_dom_20,pro,bronze,special_non_dom_20_pro_bronze,20%,non_dom_vs_dom_difference_percent,special_non_dom_20_pro_bronze.png,png
special,non_dom_10,pro,silver,special_non_dom_10_pro_silver,10%,non_dom_vs_dom_difference_percent,special_non_dom_10_pro_silver.png,png
special,non_dom_5,pro,gold,special_non_dom_5_pro_gold,5%,non_dom_vs_dom_difference_percent,special_non_dom_5_pro_gold.png,png
special,non_dom_1,pro,plat,special_non_dom_1_pro_plat,1%,non_dom_vs_dom_difference_percent,special_non_dom_1_pro_plat.png,png
,,,,,,,,
special,non_dom_20,softball,bronze,special_non_dom_20_softball_bronze,20%,non_dom_vs_dom_difference_percent,special_non_dom_20_softball_bronze.png,png
special,non_dom_10,softball,silver,special_non_dom_10_softball_silver,10%,non_dom_vs_dom_difference_percent,special_non_dom_10_softball_silver.png,png
special,non_dom_5,softball,gold,special_non_dom_5_softball_gold,5%,non_dom_vs_dom_difference_percent,special_non_dom_5_softball_gold.png,png
special,non_dom_1,softball,plat,special_non_dom_1_softball_plat,1%,non_dom_vs_dom_difference_percent,special_non_dom_1_softball_plat.png,png
,,,,,,,,
velobat,bb_10,youth,bronze,velobat_bb_10_youth_bronze,10%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_10_youth_bronze.png,png
velobat,bb_15,youth,silver,velobat_bb_15_youth_silver,15%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_15_youth_silver.png,png
velobat,bb_20,youth,gold,velobat_bb_20_youth_gold,20%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_20_youth_gold.png,png
velobat,gs_5,youth,bronze,velobat_gs_5_youth_bronze,5%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_5_youth_bronze.png,png
velobat,gs_10,youth,silver,velobat_gs_10_youth_silver,10%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_10_youth_silver.png,png
velobat,gs_15,youth,gold,velobat_gs_15_youth_gold,15%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_15_youth_gold.png,png
velobat,fl_2,youth,bronze,velobat_fl_2_youth_bronze,2%,velo_bat_fl_percent_above_game_bat,velobat_fl_2_youth_bronze.png,png
velobat,fl_5,youth,silver,velobat_fl_5_youth_silver,5%,velo_bat_fl_percent_above_game_bat,velobat_fl_5_youth_silver.png,png
velobat,fl_8,youth,gold,velobat_fl_8_youth_gold,8%,velo_bat_fl_percent_above_game_bat,velobat_fl_8_youth_gold.png,png
,,,,,,,,
velobat,bb_10,all_star,bronze,velobat_bb_10_all_star_bronze,10%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_10_all_star_bronze.png,png
velobat,bb_15,all_star,silver,velobat_bb_15_all_star_silver,15%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_15_all_star_silver.png,png
velobat,bb_20,all_star,gold,velobat_bb_20_all_star_gold,20%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_20_all_star_gold.png,png
velobat,gs_5,all_star,bronze,velobat_gs_5_all_star_bronze,5%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_5_all_star_bronze.png,png
velobat,gs_10,all_star,silver,velobat_gs_10_all_star_silver,10%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_10_all_star_silver.png,png
velobat,gs_15,all_star,gold,velobat_gs_15_all_star_gold,15%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_15_all_star_gold.png,png
velobat,fl_2,all_star,bronze,velobat_fl_2_all_star_bronze,2%,velo_bat_fl_percent_above_game_bat,velobat_fl_2_all_star_bronze.png,png
velobat,fl_5,all_star,silver,velobat_fl_5_all_star_silver,5%,velo_bat_fl_percent_above_game_bat,velobat_fl_5_all_star_silver.png,png
velobat,fl_8,all_star,gold,velobat_fl_8_all_star_gold,8%,velo_bat_fl_percent_above_game_bat,velobat_fl_8_all_star_gold.png,png
,,,,,,,,
velobat,bb_10,pro,bronze,velobat_bb_10_pro_bronze,10%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_10_pro_bronze.png,png
velobat,bb_15,pro,silver,velobat_bb_15_pro_silver,15%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_15_pro_silver.png,png
velobat,bb_20,pro,gold,velobat_bb_20_pro_gold,20%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_20_pro_gold.png,png
velobat,gs_5,pro,bronze,velobat_gs_5_pro_bronze,5%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_5_pro_bronze.png,png
velobat,gs_10,pro,silver,velobat_gs_10_pro_silver,10%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_10_pro_silver.png,png
velobat,gs_15,pro,gold,velobat_gs_15_pro_gold,15%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_15_pro_gold.png,png
velobat,fl_2,pro,bronze,velobat_fl_2_pro_bronze,2%,velo_bat_fl_percent_above_game_bat,velobat_fl_2_pro_bronze.png,png
velobat,fl_5,pro,silver,velobat_fl_5_pro_silver,5%,velo_bat_fl_percent_above_game_bat,velobat_fl_5_pro_silver.png,png
velobat,fl_8,pro,gold,velobat_fl_8_pro_gold,8%,velo_bat_fl_percent_above_game_bat,velobat_fl_8_pro_gold.png,png
,,,,,,,,
velobat,bb_10,softball,bronze,velobat_bb_10_softball_bronze,10%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_10_softball_bronze.png,png
velobat,bb_15,softball,silver,velobat_bb_15_softball_silver,15%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_15_softball_silver.png,png
velobat,bb_20,softball,gold,velobat_bb_20_softball_gold,20%,velo_bat_base_bat_percent_above_game_bat,velobat_bb_20_softball_gold.png,png
velobat,gs_5,softball,bronze,velobat_gs_5_softball_bronze,5%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_5_softball_bronze.png,png
velobat,gs_10,softball,silver,velobat_gs_10_softball_silver,10%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_10_softball_silver.png,png
velobat,gs_15,softball,gold,velobat_gs_15_softball_gold,15%,velo_bat_green_sleeve_percent_above_game_bat,velobat_gs_15_softball_gold.png,png
velobat,fl_2,softball,bronze,velobat_fl_2_softball_bronze,2%,velo_bat_fl_percent_above_game_bat,velobat_fl_2_softball_bronze.png,png
velobat,fl_5,softball,silver,velobat_fl_5_softball_silver,5%,velo_bat_fl_percent_above_game_bat,velobat_fl_5_softball_silver.png,png
velobat,fl_8,softball,gold,velobat_fl_8_softball_gold,8%,velo_bat_fl_percent_above_game_bat,velobat_fl_8_softball_gold.png,png
,,,,,,,,
special,join_team,youth,standard,special_join_team_youth_standard,player accepts a team invite,join_team,special_join_team_youth_standard.png,png
special,com_profile,youth,standard,special_com_profile_youth_standard,player completes their profile,complete_profile,special_com_profile_youth_standard.png,png
,,,,,,,,
special,join_team,all_star,standard,special_join_team_all_star_standard,player accepts a team invite,join_team,special_join_team_all_star_standard.png,png
special,com_profile,all_star,standard,special_com_profile_all_star_standard,player completes their profile,complete_profile,special_com_profile_all_star_standard.png,png
,,,,,,,,
special,join_team,pro,standard,special_join_team_pro_standard,player accepts a team invite,join_team,special_join_team_pro_standard.png,png
special,com_profile,pro,standard,special_com_profile_pro_standard,player completes their profile,complete_profile,special_com_profile_pro_standard.png,png
,,,,,,,,
special,join_team,softball,standard,special_join_team_softball_standard,player accepts a team invite,join_team,special_join_team_softball_standard.png,png
special,com_profile,softball,standard,special_com_profile_softball_standard,player completes their profile,complete_profile,special_com_profile_softball_standard.png,png
