category,badge_name,age_group,badge_tier,metric_code,threshold,threshold type,file_name,file_type
overspeed,primary,pro,silver,overspeed_primary_pro_silver,primary_2_complete,overspeed_cycle,overspeed_primary_pro_silver.png,png
overspeed,maintenance,pro,silver,overspeed_maintenance_pro_silver,maintenance_2_complete,overspeed_cycle,overspeed_maintenance_pro_silver.png,png
overspeed,ramp_up,pro,gold,overspeed_ramp_up_pro_gold,ramp_up_3_complete,overspeed_cycle,overspeed_ramp_up_pro_gold.png,png
overspeed,primary,pro,gold,overspeed_primary_pro_gold,primary_3_complete,overspeed_cycle,overspeed_primary_pro_gold.png,png
overspeed,maintenance,pro,gold,overspeed_maintenance_pro_gold,maintenance_3_complete,overspeed_cycle,overspeed_maintenance_pro_gold.png,png
,,,,,,,,
overspeed,ramp_up,softball,bronze,overspeed_ramp_up_softball_bronze,ramp_up_1_complete,overspeed_cycle,overspeed_ramp_up_softball_bronze.png,png
overspeed,primary,softball,bronze,overspeed_primary_softball_bronze,primary_1_complete,overspeed_cycle,overspeed_primary_softball_bronze.png,png
overspeed,maintenance,softball,bronze,overspeed_maintenance_softball_bronze,maintenance_1_complete,overspeed_cycle,overspeed_maintenance_softball_bronze.png,png
overspeed,ramp_up,softball,silver,overspeed_ramp_up_softball_silver,ramp_up_2_complete,overspeed_cycle,overspeed_ramp_up_softball_silver.png,png
overspeed,primary,softball,silver,overspeed_primary_softball_silver,primary_2_complete,overspeed_cycle,overspeed_primary_softball_silver.png,png
overspeed,maintenance,softball,silver,overspeed_maintenance_softball_silver,maintenance_2_complete,overspeed_cycle,overspeed_maintenance_softball_silver.png,png
overspeed,ramp_up,softball,gold,overspeed_ramp_up_softball_gold,ramp_up_3_complete,overspeed_cycle,overspeed_ramp_up_softball_gold.png,png
overspeed,primary,softball,gold,overspeed_primary_softball_gold,primary_3_complete,overspeed_cycle,overspeed_primary_softball_gold.png,png
overspeed,maintenance,softball,gold,overspeed_maintenance_softball_gold,maintenance_3_complete,overspeed_cycle,overspeed_maintenance_softball_gold.png,png
,,,,,,,,
counterweight,15_sessions,youth,standard,counterweight_15_sessions_youth_standard,15,counterweight_session_count,counterweight_15_sessions_youth_standard.png,png
counterweight,30_sessions,youth,standard,counterweight_30_sessions_youth_standard,30,counterweight_session_count,counterweight_30_sessions_youth_standard.png,png
,,,,,,,,
counterweight,15_sessions,all_star,standard,counterweight_15_sessions_all_star_standard,15,counterweight_session_count,counterweight_15_sessions_all_star_standard.png,png
counterweight,30_sessions,all_star,standard,counterweight_30_sessions_all_star_standard,3,counterweight_session_count,counterweight_30_sessions_all_star_standard.png,png
,,,,,,,,
counterweight,15_sessions,pro,standard,counterweight_15_sessions_pro_standard,15,counterweight_session_count,counterweight_15_sessions_pro_standard.png,png
counterweight,30_sessions,pro,standard,counterweight_30_sessions_pro_standard,30,counterweight_session_count,counterweight_30_sessions_pro_standard.png,png
,,,,,,,,
counterweight,15_sessions,softball,standard,counterweight_15_sessions_softball_standard,15,counterweight_session_count,counterweight_15_sessions_softball_standard.png,png
counterweight,30_sessions,softball,standard,counterweight_30_sessions_softball_standard,30,counterweight_session_count,counterweight_30_sessions_softball_standard.png,png
,,,,,,,,
mechanics,gf_1_5,youth,bronze,mechanics_gf_1_5_youth_bronze,5,ground_force_1_session_count,mechanics_gf_1_5_youth_bronze.png,png
